num,x,y,spp,dbh01,dbh04,hgt,crd,kabudachi,death
402,66.53471108,0.374789734,bp,4.233521486,4.424507418,4.0,72.03692734701697,56.67583786317829,1
403,66.56178935,0.290792642,bp,0.74,0.0,1.7,72.0106700994209,152.3086284496071,0
404,66.56178935,0.290792642,bp,0.75,0.0,0.0,72.0106700994209,151.3086284496071,0
411,68.36649351,9.652787476,bp,4.583662361,4.710986316,3.7,75.89155089099766,17.263747209363785,1
412,68.51609582,9.627269032,bp,2.62,2.59,4.1,75.69323057726953,30.202743623427313,1
419,70.52641215,5.450352734,bp,2.94,3.119436885,6.2,133.18089278402596,17.344066207843376,1
420,70.33965363,5.482751345,bp,1.46,1.61,3.6,148.46333957221464,29.297009464433877,1
421,70.4092017,5.588939587,bp,1.75,1.9,4.2,169.79676793751082,27.699581312426048,1
425,76.29927055,11.33895129,bp,12.00028271,12.25493062,14.5,67.39757116884459,21.531337338840476,1
426,76.43705143,11.78515235,bp,7.257465405,7.416620348,9.5,67.23848143467393,30.674024058025992,1
427,76.53608144,11.47296957,bp,1.63,1.6,1.7,67.99045845530222,66.26120293055232,1
428,74.83573739,12.26522492,bp,2.41,2.59,3.4,75.99335099375354,0.0,1
434,74.55172368,18.41823684,bp,4.870141259,5.283944111,6.1,85.2787345729025,46.60857352089498,1
435,74.70785919,18.3893064,bp,4.965634224,5.029296202,7.2,85.36237189846449,57.73529627273298,1
436,74.62978817,18.28403051,bp,1.09,1.38,2.4,86.52069086213871,83.99522966272616,1
437,74.68750831,18.25150688,bp,0.59,1.28,2.2,86.75100938534533,80.73079406567614,1
438,74.77650853,18.44245025,bp,0.75,0.97,2.6,84.82761148359971,137.5871453572413,1
439,74.77650853,18.44245025,bp,0.51,0.92,2.1,84.82761148359971,161.5871453572413,1
440,69.89200171,18.83934027,bp,5.793239929,6.302535746,6.8,115.52525026502101,0.0,1
443,64.5739028,11.21287642,bp,4.233521486,4.520000384,5.5,105.70314961205699,0.0,1
446,62.37511071,13.57175914,bp,1.87,2.2,3.8,78.63924794162915,22.923077912044153,1
447,62.25738677,13.62690506,bp,2.98,3.405915782,4.3,78.41031413441287,14.384616005208915,1
450,67.00941468,18.08460262,bp,10.0585924,9.67662054,10.4,72.44643495106648,45.06329184538674,1
451,66.95602072,18.36326432,bp,9.167324722,9.358310654,9.0,73.52083432548812,72.10272881443154,1
452,66.86633729,18.42616509,bp,2.57,3.469577759,4.6,72.78332001792697,122.55748286971411,1
453,67.06337525,18.52857755,bp,2.6,3.246760839,3.1,73.34442701479756,80.57153286734035,1
457,64.70410362,24.53505887,bp,1.6,1.65,2.5,87.04953279489325,0.0,1
459,63.37490566,26.175,bp,0.56,0.98,2.2,83.77557099211423,0.0,1
459,63.37490566,26.175,bp,0.5,0.82,0.0,83.77557099211423,0.0,1
459,63.37490566,26.175,bp,0.33,0.65,0.0,83.77557099211423,0.0,1
461,61.02933599,27.66331705,bp,13.33718423,13.94197301,14.0,108.472513708517,0.0,1
462,61.47266156,27.82640869,bp,9.135493733,9.230986699,9.5,183.765120317397,0.0,1
463,61.55963182,27.76995853,bp,7.416620348,7.60760628,9.8,191.47860663105286,0.0,1
464,61.25990052,27.98218904,bp,3.32,3.405915782,3.9,169.34824300405094,0.0,1
465,61.33360575,28.11042047,bp,2.63,2.8,3.3,155.28339804260074,0.0,1
470,71.06345975,26.21662144,bp,2.52,2.84,4.7,86.69955572994849,84.64719960494561,1
471,70.97710461,26.3277709,bp,3.59,3.756056657,5.7,86.85219021659331,120.5351748534425,1
472,71.04104503,26.34538302,bp,5.188451145,5.411268065,7.5,87.78717093762131,108.31985928756441,1
473,71.07300416,26.49036155,bp,2.75,2.928450953,3.8,88.6371034329439,75.46084170090857,1
474,71.13635501,26.37388675,bp,1.63,1.92,3.8,88.03065239447349,109.08765197850325,1
477,69.53653332,29.17072403,bp,1.42,1.49,2.4,88.060413128217,3.1055988960189924,1
478,69.75883133,29.45060244,bp,1.11,1.22,2.3,91.9901128396042,3.9729283174297017,1
479,73.43188828,26.87722194,bp,2.71,0.0,4.4,92.54031569792198,19.649458319413817,0
480,73.52820816,26.68679201,bp,0.66,0.98,2.0,91.32596322337345,34.768919227419595,1
481,73.53720108,26.77009156,bp,1.29,1.48,3.9,92.22787419218517,39.41016565587473,1
482,73.56502923,26.84592857,bp,1.09,0.0,1.6,94.75837893382011,39.8240407670394,0
495,65.46931234,30.51620665,bp,0.97,1.16,1.9,91.6227051073586,0.0,1
496,62.75886194,32.17244553,bp,5.188451145,0.0,4.6,85.28965185764234,71.79807522870291,0
497,62.83598611,32.38315023,bp,8.371550007,4.997465213,4.1,85.40710289873685,86.38960605126228,1
498,62.73805981,32.37356792,bp,5.729577951,6.143380803,6.8,81.51503514750468,117.72618292384225,1
499,62.50257071,32.29219417,bp,1.74,1.76,2.7,78.96633462362942,65.56067526128787,1
503,66.86120879,36.2680212,bp,3.14,3.21492985,3.6,80.86136535566652,6.755160458638616,1
504,67.11169432,36.22232194,bp,1.72,2.0,4.1,82.59829208821053,12.332095255886776,1
509,67.9063667,39.2151614,bp,2.44,2.58,3.8,86.44551657881183,31.03361519348271,1
510,67.73705184,39.14414926,bp,2.96,3.087605896,3.0,84.48902184372709,19.647203367552635,1
511,67.84907909,39.24303193,bp,0.95,1.13,2.8,85.27271226371825,58.109328724522626,1
512,63.55330748,36.84106392,bp,2.28,2.5,3.3,78.53662639477413,37.10799906699725,1
513,63.41614381,36.98661847,bp,4.15,4.424507418,5.5,78.62902257987656,38.56773371697207,1
514,63.15066847,37.09269043,bp,7.766761223,8.116902098,8.6,78.67379754370819,19.318520007620204,1
515,64.47943154,39.22419774,bp,3.9,4.169859509,5.3,84.22531823200701,0.0,1
518,64.28107037,43.21566661,bp,7.480282325,7.734930234,8.3,83.82630259617935,31.537474073331154,1
519,64.45445205,42.87661827,bp,2.98,3.183098862,4.0,92.2207266052471,48.39196095915692,1
521,64.85158857,43.13719756,bp,13.65549412,13.62366313,7.0,95.3663197241997,19.26286700015526,1
530,82.2771816,6.181643517,bp,3.596901714,3.69239468,3.8,95.14044436562573,36.738597579501885,1
531,82.398578,6.342940154,bp,7.416620348,8.148733086,7.9,98.22438632347003,17.81743144494398,1
535,84.70086254,5.200083036,bp,5.188451145,5.379437077,6.6,97.89829408841203,59.93668217561412,1
536,84.69580901,5.021426707,bp,9.167324722,9.549296586,7.3,92.81289923938022,47.34402666752415,1
537,84.7677858,4.890266895,bp,2.74,2.52,2.5,89.02936789360102,77.64358963553195,1
546,95.04849198,4.554119361,bp,3.1,3.278591828,3.9,76.72281829790398,36.09723775683158,1
547,94.88346218,4.51163672,bp,5.02,0.0,3.2,74.24176297343598,33.29092079060069,0
548,94.79070922,4.61880352,bp,1.14,1.48,3.0,73.10238422915785,51.59336483211695,1
549,94.80229873,4.486279399,bp,0.6,0.93,1.8,73.90040621566926,79.74515246323362,1
557,92.64671591,14.82786361,bp,1.59,1.73,2.2,101.67393362607038,0.0,1
558,92.55862002,15.18793562,bp,1.8,2.07,2.8,97.57972294234858,0.0,1
559,92.64495124,14.96211027,bp,1.47,1.52,1.9,105.92052345136504,0.0,1
562,95.6014386,17.18276988,bp,5.76140894,5.602253997,6.6,78.76309368209309,24.906494910515157,1
563,95.58285597,17.39667151,bp,5.347606088,5.793239929,9.0,80.79298781599516,26.833783206940378,1
565,99.86715638,14.21097374,bp,9.103662745,9.485634608,10.4,184.39947627987172,0.0,1
566,99.86214034,14.44296951,bp,4.647324338,5.124789168,4.8,230.04253999794247,0.0,1
567,99.96654436,14.22259631,bp,1.97,2.514648101,3.8,327.12565285914553,0.0,1
568,99.70532186,14.53133218,bp,2.59,2.99211293,3.9,765.5501891834708,0.0,1
569,99.71403399,14.52642315,bp,4.106197532,4.201690498,4.6,551.0195035803391,0.0,1
573,90.74999543,19.99738201,bp,5.188451145,5.634084985,5.1,82.35708201815525,0.0,1
580,80.19,20.0,bp,2.18,2.44,2.2,66.13918219486631,47.03438281926828,1
581,80.51481274,20.5303043,bp,3.34,3.787887646,4.0,64.21524598952573,102.52511341639749,1
582,80.56663363,20.56044523,bp,1.03,1.17,1.7,63.75452961826072,135.4467819549964,1
583,80.56662864,20.70929876,bp,1.77,1.68,2.8,63.47441241485883,94.09693822104471,1
584,80.25721585,20.85238316,bp,2.08,2.14,2.1,67.60295504476137,130.12580992835007,1
585,80.24338945,20.51132229,bp,5.76140894,5.825070917,6.0,65.02851770144943,106.1910485757164,1
586,80.11953539,20.62162614,bp,5.188451145,5.092958179,5.9,66.18880428218353,109.11655008302989,1
587,80.32362871,20.6766378,bp,4.965634224,5.315775099,5.7,65.59083864703231,116.77435133176574,1
588,80.1790351,20.87649777,bp,3.15,2.864788976,2.4,65.81076627536999,109.728957809966,1
589,79.93396239,20.82757894,bp,1.51,1.77,3.4,68.51625726799523,91.381287579786,1
590,79.73633434,20.7357087,bp,1.28,1.66,2.5,71.52517357956991,82.5512970350785,1
591,79.77162816,20.80499032,bp,1.8,2.13,3.5,70.79981681904889,79.94406674458182,1
595,84.7123931,29.98655162,bp,3.0,3.278591828,4.7,84.54046119980883,0.0,1
598,82.57926802,30.63736983,bp,6.843662553,7.352958371,6.8,82.03608802925409,0.0,1
599,84.3849414,33.2927054,bp,2.45,0.0,3.0,94.07170746740985,105.09636207843698,0
600,84.31111181,33.33741171,bp,7.416620348,7.703099246,9.9,93.28938777955591,49.95543345451084,1
601,84.22696695,33.21395056,bp,2.34,2.45,3.5,94.48554891890478,65.97598358150701,1
602,84.39664427,33.39525306,bp,0.61,0.9,2.2,94.46594678012696,104.98949547531481,1
606,88.45195936,31.75853606,bp,6.875493542,7.384789359,8.9,100.30147137019112,11.647595781684146,1
607,88.32045732,31.801082,bp,1.16,1.85,3.4,103.31285495832616,52.55934629139468,1
608,88.3800251,31.52672032,bp,0.79,0.7,1.7,93.75519771848813,32.45856875513079,1
612,79.93534086,35.43915595,bp,4.710986316,4.901972247,5.7,108.54971900868307,13.0523009183836,1
613,79.87601924,35.41228774,bp,0.85,1.05,2.0,108.83371338558419,72.34024825743455,1
617,90.55720333,22.62143557,bp,4.83831027,5.793239929,5.6,69.77516608983272,0.0,1
635,85.52498148,40.22571183,bp,6.238873769,6.589014644,5.3,84.54233551089193,0.0,1
639,82.78755641,43.61896894,bp,2.06,2.291831181,3.6,56.46552303678568,0.0,1
646,39.27848538,29.67677607,bp,2.55,2.960281942,3.7,61.613553231117244,0.0,1
